path	origin	author_or_holder	derivation	copyright	license	status
.config/dotnet-tools.json	Forma extraction	Igor Hipólito Vieira	Pinned MGCB and Microsoft API compatibility tool manifest	Igor Hipólito Vieira	MIT	classified
.github/workflows/ci.yml	Forma extraction	Igor Hipólito Vieira	Cross-platform build, test, compliance, and package workflow	Igor Hipólito Vieira	MIT	classified
.github/workflows/release.yml	Forma extraction	Igor Hipólito Vieira	Validated approval-gated NuGet trusted publishing workflow	Igor Hipólito Vieira	MIT	classified
.gitignore	Forma extraction	Igor Hipólito Vieira	Repository ignore rules	Igor Hipólito Vieira	MIT	classified
Directory.Build.props	Forma extraction	Igor Hipólito Vieira	Shared build and package metadata	Igor Hipólito Vieira	MIT	classified
Forma.slnx	Forma extraction	Igor Hipólito Vieira	Standalone solution definition	Igor Hipólito Vieira	MIT	classified
LICENSE	Forma extraction	Igor Hipólito Vieira	Project MIT license text	Igor Hipólito Vieira	MIT	classified
NOTICE.md	Forma extraction	Igor Hipólito Vieira	Project identity and third-party notice pointer	Igor Hipólito Vieira	MIT	classified
README.md	Retained UI documentation and Forma extraction	Igor Hipólito Vieira	Rewritten standalone repository documentation	Igor Hipólito Vieira	MIT	classified
THIRD-PARTY-NOTICES.md	Forma extraction	Godot contributors; Björn Ottosson; MonoGame Foundation; IBM Corp.	Aggregated applicable third-party notices	Respective upstream holders	MIT; MS-PL; OFL-1.1	classified
docs/provenance-files.tsv	Forma extraction	Igor Hipólito Vieira	Machine-readable per-file provenance manifest	Igor Hipólito Vieira	MIT	classified
docs/api-baseline.txt	zignd/MonoGame 49ea4f3d	Igor Hipólito Vieira	Generated normalized public UI type and member baseline	Igor Hipólito Vieira	MIT	classified
docs/api-compatibility.diff	Forma extraction	Igor Hipólito Vieira	Generated deterministic baseline-to-core API delta	Igor Hipólito Vieira	MIT	classified
docs/api-compatibility.md	Forma extraction	Igor Hipólito Vieira	Public API comparison method, counts, and intentional media exception	Igor Hipólito Vieira	MIT	classified
docs/api-core.approved.txt	Forma extraction	Igor Hipólito Vieira	Generated approved stock-compatible Forma public API inventory	Igor Hipólito Vieira	MIT	classified
docs/api-media.approved.txt	Forma extraction	Igor Hipólito Vieira	Generated approved optional Forma.Media public API inventory	Igor Hipólito Vieira	MIT	classified
docs/dynamic-text-rendering-plan.md	ZonoBak plan and Forma retargeting	Igor Hipólito Vieira	Retargeted future runtime text architecture and implementation checklist	Igor Hipólito Vieira	MIT	classified
docs/migration.md	Forma extraction	Igor Hipólito Vieira	Namespace, type, package, backend, and media migration guide	Igor Hipólito Vieira	MIT	classified
docs/provenance.md	Forma extraction	Igor Hipólito Vieira	Narrative provenance, revisions, classifications, and baselines	Igor Hipólito Vieira	MIT	classified
docs/release-validation.md	Forma extraction	Igor Hipólito Vieira	Local candidate validation, identity review, and external release gate record	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/CatalogBackend.cs	Forma extraction	Igor Hipólito Vieira	Assembly-metadata backend label replacing internal MonoGame API use	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/CatalogEffectHotReloadService.cs	Forma extraction	Igor Hipólito Vieira	Stock-compatible compiled-effect polling and replacement service	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/CatalogGame.cs	zignd/MonoGame 500ca0bc	Igor Hipólito Vieira	Retained catalog host adapted to Forma namespace and stock package	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/CatalogShell.cs	zignd/MonoGame 500ca0bc	Igor Hipólito Vieira	Retained catalog shell adapted to Forma namespace	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/Content/Content.mgcb	Forma extraction	Igor Hipólito Vieira	Deterministic MGCB instructions for IBM Plex Sans atlases	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/Forma.Catalog.csproj	Retained catalog project and Forma extraction	Igor Hipólito Vieira	Standalone stock-MonoGame catalog project	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/Program.cs	zignd/MonoGame 500ca0bc	Igor Hipólito Vieira	Retained catalog entry point adapted to Forma namespace	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/README.md	zignd/MonoGame 500ca0bc and Forma extraction	Igor Hipólito Vieira	Retained catalog guide rewritten for standalone commands	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/StoryCatalog.cs	zignd/MonoGame 500ca0bc	Igor Hipólito Vieira	Retained complete component story registry adapted to Forma namespace	Igor Hipólito Vieira	MIT	classified
samples/Forma.Catalog/catalog-metrics-baseline.json	Forma extraction	Igor Hipólito Vieira	Generated deterministic three-frame 2x catalog metrics baseline	Igor Hipólito Vieira	MIT	classified
scripts/check-compliance.sh	Forma extraction	Igor Hipólito Vieira	License, notice, header, and manifest validation	Igor Hipólito Vieira	MIT	classified
scripts/check-api-compatibility.sh	Forma extraction	Igor Hipólito Vieira	Deterministic normalized API approval and baseline delta validation	Igor Hipólito Vieira	MIT	classified
scripts/check-backend-references.sh	Forma extraction	Igor Hipólito Vieira	Isolated DesktopGL, WindowsDX, and Native package-reference compile validation	Igor Hipólito Vieira	MIT	classified
scripts/check-clean-source.sh	Forma extraction	Igor Hipólito Vieira	Clean source export restore, solution build, and full unit-suite validation	Igor Hipólito Vieira	MIT	classified
